OPER_DT,BOR_CD,ADMD_CD,AMT_IND,LCLS_10_P,LCLS_20_P,LCLS_30_P,LCLS_40_P,LCLS_50_P,LCLS_60_P,LCLS_70_P,LCLS_80_P
20181008,1111,11110690,57.4%,20.2%,20.5%,53.9%,0.2%,4.9%,,,0.3%
20181008,1111,11110700,114.5%,40.9%,17.4%,34.3%,2.8%,3.3%,0.1%,1.0%,0.2%
20181008,1111,11110710,119.4%,31.1%,15.6%,39.8%,5.0%,6.2%,0.6%,1.8%,0.1%
20181008,1135,11350560,108.0%,36.1%,18.2%,37.9%,3.0%,4.2%,0.2%,0.4%,0.1%
20181008,1135,11350570,106.0%,38.6%,18.7%,36.4%,2.4%,2.5%,0.5%,0.5%,0.5%
20181008,1135,11350580,115.7%,27.7%,21.0%,44.9%,1.9%,3.3%,0.3%,0.6%,0.4%
20181008,1135,11350595,78.8%,34.7%,17.8%,39.0%,2.4%,4.4%,0.4%,1.0%,0.2%
20181008,1135,11350600,86.7%,36.7%,20.9%,34.7%,2.6%,3.7%,0.4%,0.6%,0.4%
20181008,1135,11350611,130.0%,34.9%,19.2%,36.9%,3.2%,4.0%,0.8%,0.9%,0.1%
20181008,1135,11350612,142.3%,34.6%,26.4%,33.3%,0.9%,2.9%,1.1%,0.3%,0.5%
20181008,1135,11350619,107.0%,37.1%,18.9%,37.9%,1.6%,2.6%,0.5%,0.9%,0.5%
20181008,1135,11350621,75.4%,31.6%,22.3%,39.6%,2.6%,3.1%,0.4%,0.0%,0.4%
20181008,1135,11350624,86.7%,32.6%,19.6%,37.8%,4.2%,4.1%,0.9%,0.2%,0.4%
20181008,1135,11350625,147.7%,35.0%,19.0%,40.2%,1.7%,2.6%,0.5%,0.7%,0.2%
20181008,1135,11350630,83.0%,31.7%,19.7%,40.4%,2.3%,3.6%,0.8%,1.3%,0.3%
20181008,1135,11350640,155.1%,32.2%,17.9%,36.0%,8.3%,4.8%,0.2%,0.4%,0.2%
20181008,1135,11350665,96.8%,44.3%,17.7%,31.8%,2.9%,2.1%,0.0%,0.3%,0.9%
20181008,1135,11350670,86.4%,37.9%,17.2%,36.0%,2.0%,3.3%,2.0%,0.8%,0.8%
20181008,1135,11350695,105.0%,30.6%,21.6%,38.3%,2.8%,5.0%,0.7%,0.6%,0.4%
20181008,1135,11350700,153.7%,40.2%,19.6%,35.1%,0.6%,3.5%,0.5%,0.0%,0.6%
20181008,1135,11350710,99.5%,33.9%,22.6%,38.0%,1.6%,2.9%,0.4%,0.3%,0.4%
20181008,1135,11350720,91.2%,30.5%,20.0%,40.1%,1.6%,5.4%,0.8%,1.4%,0.2%
20181009,1111,11110515,70.1%,30.0%,24.8%,38.0%,1.7%,4.0%,0.2%,0.6%,0.7%
20181009,1111,11110530,122.8%,26.9%,23.8%,36.9%,1.0%,7.4%,0.2%,2.8%,0.9%
20181009,1111,11110540,103.9%,25.7%,20.3%,41.4%,3.1%,6.6%,1.1%,0.3%,1.5%
20181009,1111,11110550,116.0%,41.2%,19.9%,30.2%,3.6%,3.6%,0.8%,0.6%,0.1%
20181009,1111,11110560,106.4%,41.7%,18.6%,28.8%,3.2%,5.0%,0.4%,2.0%,0.3%
20181009,1111,11110570,198.5%,29.4%,20.3%,36.9%,2.2%,10.2%,0.1%,0.6%,0.2%
20181009,1111,11110580,105.9%,37.9%,19.5%,34.5%,2.7%,4.6%,0.2%,0.5%,0.2%
20181009,1111,11110600,106.3%,27.5%,19.8%,42.4%,2.3%,5.6%,0.1%,2.0%,0.3%
20181009,1111,11110615,138.6%,27.7%,18.9%,41.3%,2.8%,6.8%,0.4%,1.8%,0.3%
20181009,1111,11110630,87.8%,31.5%,14.7%,46.7%,2.2%,3.4%,0.2%,1.1%,0.1%
20181009,1111,11110640,119.2%,22.6%,15.7%,45.3%,4.9%,9.2%,0.4%,1.4%,0.5%
20181009,1111,11110650,111.6%,34.6%,17.7%,37.3%,3.1%,5.5%,0.5%,1.2%,0.2%
20181009,1111,11110670,77.4%,40.5%,17.2%,37.6%,0.8%,3.3%,,0.5%,
20181009,1111,11110680,107.8%,45.5%,16.4%,30.9%,1.3%,5.5%,0.1%,0.3%,
20181009,1111,11110690,29.4%,20.9%,30.9%,44.0%,0.5%,2.9%,,0.8%,
20181009,1111,11110700,111.9%,37.1%,18.6%,33.9%,5.3%,2.5%,1.3%,1.0%,0.3%
20181009,1111,11110710,118.3%,31.3%,16.0%,40.4%,4.4%,6.3%,0.7%,0.7%,0.3%
20181009,1135,11350560,94.7%,36.1%,18.5%,38.2%,2.1%,4.4%,0.3%,0.2%,0.1%
20181009,1135,11350570,96.7%,36.6%,20.8%,35.6%,2.2%,3.6%,0.3%,0.6%,0.4%
20181009,1135,11350580,107.1%,28.8%,24.8%,38.3%,2.7%,3.1%,0.4%,0.7%,1.2%
20181009,1135,11350595,72.5%,34.2%,18.5%,37.5%,2.5%,5.3%,0.6%,1.0%,0.5%
20181009,1135,11350600,94.4%,35.0%,20.2%,34.3%,3.8%,5.1%,0.4%,0.8%,0.3%
20181009,1135,11350611,128.0%,37.5%,21.0%,33.9%,2.7%,3.6%,0.6%,0.6%,0.1%
20181009,1135,11350612,137.0%,31.9%,26.3%,34.8%,1.9%,3.6%,,0.9%,0.5%
20181009,1135,11350619,113.4%,30.7%,22.3%,39.5%,1.9%,4.2%,0.8%,0.2%,0.4%
20181009,1135,11350621,74.7%,33.5%,17.9%,42.4%,2.6%,3.2%,,0.2%,0.2%
20181009,1135,11350624,90.8%,30.7%,22.7%,38.5%,2.6%,4.2%,0.2%,0.6%,0.6%
20181009,1135,11350625,135.1%,33.5%,20.9%,39.6%,1.1%,3.7%,0.3%,0.6%,0.4%
20181009,1135,11350630,78.1%,28.9%,20.4%,42.1%,2.5%,4.3%,0.6%,0.8%,0.4%
20181009,1135,11350640,150.5%,32.1%,18.2%,37.2%,4.8%,5.9%,0.5%,0.8%,0.4%
20181009,1135,11350665,92.4%,41.6%,19.2%,31.8%,1.4%,4.6%,0.4%,0.9%,0.1%
20181009,1135,11350670,85.8%,34.9%,19.6%,36.3%,3.6%,3.6%,0.6%,0.8%,0.5%
20181009,1135,11350695,111.1%,30.1%,22.5%,36.9%,4.2%,4.8%,0.3%,0.7%,0.5%
20181009,1135,11350700,145.8%,37.7%,19.8%,33.7%,0.3%,5.6%,0.3%,1.4%,1.1%
20181009,1135,11350710,98.1%,29.8%,22.1%,38.2%,2.6%,3.6%,1.4%,1.6%,0.6%
20181009,1135,11350720,87.3%,34.8%,21.4%,35.5%,1.2%,4.7%,0.6%,1.6%,0.1%
20181010,1111,11110515,65.1%,37.2%,20.5%,33.6%,3.2%,3.1%,0.6%,1.6%,0.1%
20181010,1111,11110530,140.7%,30.7%,19.2%,36.8%,2.0%,9.0%,0.3%,1.9%,0.1%
20181010,1111,11110540,64.6%,34.5%,14.9%,35.5%,2.4%,11.4%,0.5%,0.7%,0.2%
20181010,1111,11110550,182.2%,44.6%,18.6%,29.0%,2.2%,4.0%,0.7%,0.9%,0.1%
20181010,1111,11110560,93.3%,44.7%,14.9%,28.5%,4.2%,5.4%,0.1%,2.2%,0.1%
20181010,1111,11110570,202.5%,33.0%,23.8%,29.2%,5.0%,6.8%,0.6%,1.5%,0.0%
20181010,1111,11110580,82.4%,42.0%,19.0%,30.8%,3.5%,4.6%,,,0.1%
20181010,1111,11110600,107.4%,34.2%,17.3%,35.4%,3.3%,7.3%,0.7%,1.6%,0.2%
20181010,1111,11110615,159.0%,32.8%,16.1%,39.3%,2.7%,7.4%,0.5%,1.0%,0.1%
20181010,1111,11110630,85.7%,32.2%,13.5%,45.8%,1.8%,5.9%,0.2%,0.7%,0.0%
20181010,1111,11110640,105.7%,32.5%,15.9%,35.9%,5.2%,7.0%,0.8%,2.6%,0.0%
20181010,1111,11110650,113.7%,37.3%,17.0%,33.2%,2.8%,8.0%,0.5%,1.2%,0.1%
20181010,1111,11110670,101.9%,46.5%,15.1%,30.1%,1.6%,5.4%,0.9%,0.3%,0.0%
20181010,1111,11110680,121.3%,44.9%,12.6%,31.7%,1.6%,5.1%,0.7%,3.4%,0.1%
20181010,1111,11110690,57.7%,26.7%,24.6%,45.8%,0.2%,1.0%,,1.7%,
20181010,1111,11110700,113.0%,39.3%,16.7%,30.7%,7.0%,4.2%,1.3%,0.6%,0.3%
20181010,1111,11110710,115.3%,33.5%,13.8%,33.5%,10.2%,6.8%,0.9%,1.1%,0.2%
20181010,1135,11350560,105.3%,38.9%,17.9%,34.5%,1.7%,5.4%,0.3%,1.1%,0.2%
20181010,1135,11350570,95.3%,43.3%,17.2%,31.3%,2.6%,3.4%,0.6%,0.9%,0.7%
20181010,1135,11350580,103.3%,32.9%,19.4%,36.5%,6.0%,4.1%,0.4%,0.2%,0.5%
20181010,1135,11350595,79.2%,36.1%,17.1%,34.5%,4.6%,5.8%,0.8%,1.0%,0.2%
20181010,1135,11350600,83.7%,37.4%,20.2%,33.4%,2.4%,5.1%,0.3%,0.8%,0.3%
20181010,1135,11350611,133.9%,38.4%,18.0%,33.7%,2.4%,5.3%,0.6%,1.3%,0.3%
20181010,1135,11350612,125.4%,40.5%,22.0%,28.0%,2.4%,4.9%,1.1%,0.7%,0.4%
20181010,1135,11350619,113.1%,34.2%,20.9%,36.1%,1.8%,4.6%,0.4%,1.8%,0.3%
20181010,1135,11350621,84.0%,33.5%,19.0%,36.9%,6.1%,3.7%,0.3%,0.3%,0.2%
20181010,1135,11350624,76.8%,36.9%,16.4%,37.5%,1.9%,5.1%,0.8%,0.9%,0.4%
20181010,1135,11350625,138.2%,37.1%,19.2%,37.6%,1.6%,3.4%,0.3%,0.7%,0.3%
20181010,1135,11350630,78.5%,32.4%,17.9%,40.4%,2.1%,5.1%,1.0%,0.8%,0.3%
20181010,1135,11350640,133.4%,35.4%,16.7%,34.2%,3.4%,8.0%,1.1%,1.1%,0.3%
20181010,1135,11350665,78.2%,47.2%,17.1%,29.7%,2.6%,2.1%,0.4%,0.5%,0.3%
20181010,1135,11350670,80.5%,41.7%,16.2%,31.4%,6.1%,2.9%,0.8%,0.7%,0.2%
20181010,1135,11350695,97.4%,33.1%,19.6%,36.0%,4.2%,5.4%,0.7%,0.5%,0.4%
20181010,1135,11350700,125.3%,47.2%,16.9%,30.1%,1.2%,3.0%,0.4%,0.6%,0.7%
20181010,1135,11350710,101.7%,36.4%,21.2%,35.4%,1.4%,4.6%,0.3%,0.2%,0.4%
20181010,1135,11350720,79.6%,36.6%,17.7%,36.6%,1.3%,7.0%,,0.6%,0.2%
20181011,1111,11110515,65.2%,36.3%,20.8%,34.0%,4.3%,3.7%,0.5%,0.3%,0.1%
20181011,1111,11110530,142.5%,31.5%,16.4%,40.7%,1.6%,8.2%,0.3%,1.0%,0.3%
20181011,1111,11110540,72.7%,33.4%,17.7%,36.7%,1.5%,7.4%,,1.9%,1.4%
20181011,1111,11110550,179.8%,44.7%,17.8%,30.4%,1.8%,3.4%,0.9%,0.7%,0.2%
20181011,1111,11110560,97.9%,41.3%,14.8%,29.2%,6.6%,6.0%,1.3%,0.6%,0.2%
20181011,1111,11110570,205.3%,41.0%,19.1%,30.6%,2.9%,5.7%,0.1%,0.5%,0.2%
20181011,1111,11110580,104.0%,41.9%,18.7%,30.2%,2.6%,5.9%,,0.4%,0.2%
20181011,1111,11110600,116.1%,34.7%,17.0%,33.1%,5.8%,6.2%,0.6%,2.5%,0.1%
20181011,1111,11110615,167.3%,32.4%,15.2%,40.7%,3.2%,6.9%,0.2%,1.3%,0.1%
20181011,1111,11110630,88.0%,34.9%,15.7%,39.7%,3.4%,4.7%,0.0%,1.5%,0.0%
20181011,1111,11110640,115.4%,30.6%,16.5%,37.1%,4.6%,8.1%,0.8%,2.2%,0.1%
20181011,1111,11110650,116.3%,38.6%,15.6%,33.5%,4.4%,5.8%,0.5%,1.4%,0.1%
20181011,1111,11110670,102.5%,44.6%,15.1%,33.1%,1.1%,4.3%,,1.8%,0.0%
20181011,1111,11110680,115.9%,46.9%,16.0%,26.7%,1.5%,6.9%,0.2%,1.7%,0.0%
20181011,1111,11110690,62.4%,21.2%,21.4%,49.7%,,7.3%,,0.4%,0.1%
20181011,1111,11110700,116.7%,42.2%,15.3%,31.8%,5.9%,3.6%,0.7%,0.3%,0.1%
20181011,1111,11110710,116.7%,33.1%,16.1%,35.9%,5.4%,6.3%,1.4%,1.8%,0.0%
20181011,1135,11350560,106.5%,38.8%,17.2%,35.1%,2.7%,4.5%,0.4%,1.1%,0.2%
20181011,1135,11350570,103.5%,42.6%,18.0%,31.7%,2.3%,3.2%,0.8%,1.1%,0.3%
20181011,1135,11350580,94.8%,32.4%,21.0%,38.2%,2.4%,4.7%,0.4%,0.5%,0.5%
20181011,1135,11350595,79.6%,36.9%,16.4%,36.8%,2.1%,5.9%,1.0%,0.6%,0.3%
20181011,1135,11350600,81.9%,36.6%,21.4%,33.6%,1.7%,4.8%,1.2%,0.5%,0.3%
20181011,1135,11350611,134.8%,35.2%,20.4%,36.2%,2.7%,4.0%,0.7%,0.5%,0.3%
20181011,1135,11350612,136.4%,36.9%,23.8%,34.4%,0.5%,2.9%,0.2%,0.4%,1.0%
20181011,1135,11350619,101.1%,36.1%,20.6%,34.2%,3.9%,3.0%,0.7%,1.1%,0.5%
20181011,1135,11350621,75.7%,33.6%,20.3%,39.5%,2.9%,2.9%,0.1%,0.5%,0.2%
20181011,1135,11350624,81.1%,38.0%,19.1%,33.7%,3.5%,5.1%,,0.4%,0.3%
20181011,1135,11350625,143.1%,39.0%,18.6%,36.8%,1.1%,3.8%,0.1%,0.2%,0.4%
20181011,1135,11350630,78.8%,32.2%,19.3%,39.1%,2.7%,4.5%,0.8%,1.1%,0.3%
20181011,1135,11350640,134.7%,37.9%,16.1%,36.0%,4.6%,4.5%,0.2%,0.5%,0.2%
20181011,1135,11350665,99.4%,44.5%,16.8%,32.6%,1.7%,2.4%,1.3%,0.2%,0.6%
20181011,1135,11350670,86.6%,42.7%,15.5%,33.4%,2.0%,5.1%,0.5%,0.4%,0.3%
20181011,1135,11350695,96.6%,33.5%,19.7%,36.7%,4.2%,4.8%,0.6%,0.5%,0.2%
20181011,1135,11350700,128.4%,40.8%,17.8%,36.4%,1.1%,2.4%,0.3%,0.2%,0.9%
20181011,1135,11350710,89.7%,37.9%,18.8%,39.1%,1.0%,2.3%,0.2%,0.3%,0.4%
20181011,1135,11350720,77.8%,39.3%,18.1%,36.8%,1.1%,3.1%,1.0%,0.6%,0.1%
20181012,1111,11110515,71.7%,37.1%,20.2%,36.6%,1.6%,3.2%,0.6%,0.4%,0.2%
20181012,1111,11110530,143.0%,28.1%,20.7%,39.9%,1.4%,7.7%,0.2%,1.5%,0.5%
20181012,1111,11110540,98.8%,31.6%,19.3%,39.9%,2.1%,4.7%,0.8%,1.2%,0.4%
20181012,1111,11110550,163.3%,42.9%,20.5%,29.6%,3.2%,2.7%,0.1%,0.9%,0.1%
20181012,1111,11110560,108.5%,38.3%,19.8%,27.4%,9.6%,3.3%,0.5%,1.0%,0.1%
20181012,1111,11110570,219.4%,30.6%,21.0%,33.8%,5.0%,7.0%,0.2%,2.4%,
20181012,1111,11110580,113.4%,37.2%,17.7%,30.8%,4.9%,5.9%,0.8%,2.4%,0.2%
20181012,1111,11110600,132.0%,31.3%,18.0%,37.2%,3.4%,6.4%,0.6%,2.9%,0.2%
20181012,1111,11110615,178.6%,30.5%,16.8%,41.0%,2.7%,7.1%,0.4%,1.3%,0.2%
20181012,1111,11110630,102.0%,31.9%,15.9%,42.0%,3.6%,4.9%,0.1%,1.4%,0.1%
20181012,1111,11110640,128.2%,29.1%,16.1%,39.1%,6.8%,5.7%,0.3%,2.5%,0.3%
20181012,1111,11110650,117.1%,35.2%,17.1%,36.1%,2.6%,6.7%,0.4%,1.7%,0.2%
20181012,1111,11110670,98.1%,38.2%,17.6%,39.2%,1.8%,2.6%,0.2%,0.4%,
20181012,1111,11110680,121.0%,45.2%,13.8%,34.0%,1.0%,2.9%,2.7%,0.4%,
20181012,1111,11110690,64.4%,24.6%,20.4%,47.8%,1.0%,3.8%,2.3%,0.0%,
20181012,1111,11110700,127.0%,41.1%,18.0%,32.6%,4.2%,2.8%,0.3%,0.9%,0.0%
20181012,1111,11110710,111.5%,32.8%,15.4%,36.7%,4.7%,6.2%,2.1%,2.0%,0.0%
20181012,1135,11350560,108.1%,38.3%,17.1%,36.6%,2.9%,4.2%,0.3%,0.4%,0.2%
20181012,1135,11350570,109.8%,38.0%,18.1%,39.0%,1.2%,2.1%,0.7%,0.4%,0.6%
20181012,1135,11350580,110.6%,32.0%,21.3%,38.0%,2.2%,4.6%,0.4%,1.0%,0.5%
20181012,1135,11350595,81.7%,35.1%,17.8%,36.6%,2.5%,5.6%,1.2%,1.0%,0.2%
20181012,1135,11350600,88.9%,36.4%,21.0%,33.5%,2.6%,4.8%,0.7%,0.7%,0.4%
20181012,1135,11350611,146.9%,35.0%,20.8%,34.3%,3.4%,3.9%,1.1%,1.1%,0.4%
20181012,1135,11350612,150.4%,37.0%,22.4%,34.1%,1.8%,3.5%,0.6%,0.3%,0.3%
20181012,1135,11350619,114.6%,35.0%,21.4%,37.2%,1.1%,3.3%,1.1%,0.6%,0.3%
20181012,1135,11350621,80.9%,32.1%,20.9%,39.0%,2.5%,4.8%,0.5%,0.0%,0.2%
20181012,1135,11350624,77.5%,37.1%,17.3%,39.4%,1.9%,2.8%,0.2%,1.0%,0.2%
20181012,1135,11350625,153.0%,35.4%,21.0%,37.1%,1.1%,3.5%,0.4%,1.1%,0.3%
20181012,1135,11350630,80.7%,31.3%,18.7%,41.2%,1.9%,4.8%,0.7%,1.1%,0.2%
20181012,1135,11350640,143.3%,35.8%,18.2%,35.8%,3.2%,4.8%,0.8%,1.2%,0.2%
20181012,1135,11350665,82.1%,43.3%,16.6%,33.4%,1.8%,3.0%,1.1%,0.5%,0.3%
20181012,1135,11350670,77.5%,37.8%,17.6%,36.0%,1.9%,4.8%,0.7%,0.5%,0.7%
20181012,1135,11350695,112.0%,32.6%,20.9%,36.3%,3.7%,4.8%,0.4%,0.8%,0.4%
20181012,1135,11350700,153.1%,44.6%,20.5%,28.1%,0.8%,3.4%,0.5%,1.4%,0.8%
20181012,1135,11350710,106.4%,36.7%,19.9%,36.5%,1.8%,3.6%,0.4%,0.5%,0.5%
20181012,1135,11350720,82.9%,35.6%,19.2%,38.5%,1.9%,3.3%,0.5%,0.9%,0.1%
20181013,1111,11110515,79.5%,30.0%,24.4%,37.4%,1.8%,4.2%,0.9%,0.6%,0.7%
20181013,1111,11110530,122.7%,24.6%,23.8%,37.6%,2.0%,10.1%,0.5%,0.7%,0.7%
20181013,1111,11110540,116.5%,25.6%,18.9%,40.5%,4.9%,6.8%,0.5%,2.2%,0.7%
20181013,1111,11110550,113.5%,40.5%,20.0%,31.3%,1.2%,5.1%,0.8%,0.9%,0.1%
20181013,1111,11110560,109.0%,38.8%,20.1%,31.5%,1.2%,6.5%,0.8%,0.9%,0.3%
20181013,1111,11110570,248.4%,27.7%,27.7%,31.7%,4.3%,7.0%,0.3%,1.1%,0.3%
20181013,1111,11110580,103.7%,37.5%,22.3%,31.2%,4.6%,3.4%,,1.0%,
20181013,1111,11110600,128.0%,25.0%,20.3%,39.0%,3.0%,9.3%,0.3%,2.9%,0.3%
20181013,1111,11110615,154.5%,26.3%,19.0%,41.0%,2.3%,8.9%,0.4%,1.8%,0.2%
20181013,1111,11110630,90.8%,25.5%,14.8%,47.3%,2.6%,6.1%,0.8%,2.8%,0.2%
20181013,1111,11110640,144.6%,22.2%,17.2%,44.4%,4.4%,9.3%,0.1%,2.1%,0.3%
20181013,1111,11110650,115.7%,32.0%,16.9%,36.6%,5.6%,6.8%,0.7%,1.2%,0.2%
20181013,1111,11110670,112.0%,38.1%,16.1%,38.3%,1.8%,5.0%,0.1%,0.5%,0.0%
20181013,1111,11110680,118.6%,43.3%,15.0%,32.0%,0.8%,6.1%,0.1%,2.6%,
20181013,1111,11110690,38.4%,18.7%,19.8%,56.0%,1.2%,3.3%,,0.8%,0.2%
20181013,1111,11110700,125.3%,37.8%,18.7%,34.9%,3.4%,3.2%,1.5%,0.4%,0.1%
20181013,1111,11110710,120.5%,29.1%,17.5%,40.4%,3.4%,6.1%,1.8%,1.5%,0.3%
20181013,1135,11350560,97.9%,36.4%,18.4%,37.8%,2.0%,4.1%,0.6%,0.6%,0.2%
20181013,1135,11350570,101.3%,36.1%,20.3%,35.6%,2.3%,3.1%,1.0%,1.1%,0.4%
20181013,1135,11350580,121.1%,26.7%,20.6%,45.1%,2.0%,3.3%,0.5%,0.6%,1.2%
20181013,1135,11350595,80.1%,32.9%,18.0%,38.9%,2.9%,5.6%,0.5%,0.7%,0.5%
20181013,1135,11350600,90.6%,33.2%,21.8%,36.1%,1.7%,4.8%,0.9%,1.2%,0.4%
20181013,1135,11350611,139.5%,32.8%,21.7%,36.4%,2.4%,5.0%,0.3%,1.2%,0.2%
20181013,1135,11350612,168.6%,33.8%,26.0%,33.0%,1.7%,3.5%,0.7%,0.8%,0.6%
20181013,1135,11350619,128.2%,30.9%,23.9%,37.1%,1.6%,4.1%,0.8%,0.9%,0.7%
20181013,1135,11350621,85.2%,31.2%,20.6%,42.1%,1.5%,3.8%,0.1%,0.4%,0.2%
20181013,1135,11350624,97.0%,29.8%,19.2%,41.8%,1.7%,4.7%,,1.8%,1.1%
20181013,1135,11350625,145.5%,33.4%,20.6%,38.8%,1.2%,4.4%,0.6%,0.5%,0.6%
20181013,1135,11350630,91.1%,27.2%,20.0%,42.8%,2.2%,5.2%,1.1%,1.2%,0.3%
20181013,1135,11350640,155.8%,31.9%,18.0%,38.8%,2.3%,7.0%,1.1%,0.7%,0.2%
20181013,1135,11350665,101.7%,36.9%,18.6%,33.6%,1.9%,5.8%,2.0%,0.8%,0.4%
20181013,1135,11350670,87.7%,36.0%,17.2%,37.7%,2.7%,4.3%,0.9%,0.9%,0.4%
20181013,1135,11350695,120.0%,29.6%,23.4%,37.7%,3.2%,4.6%,0.5%,0.5%,0.6%
20181013,1135,11350700,160.1%,37.4%,16.8%,38.6%,0.6%,5.0%,0.5%,0.6%,0.6%
20181013,1135,11350710,99.1%,30.3%,20.3%,41.9%,1.8%,3.9%,0.7%,0.7%,0.4%
20181013,1135,11350720,102.8%,32.8%,19.9%,37.9%,1.7%,5.1%,0.9%,0.6%,1.1%
20181014,1111,11110515,76.0%,29.3%,26.5%,35.9%,2.4%,3.7%,1.1%,0.7%,0.3%
20181014,1111,11110530,127.4%,24.0%,24.5%,38.2%,1.8%,9.1%,0.4%,1.4%,0.8%
20181014,1111,11110540,94.0%,29.0%,19.8%,42.0%,2.8%,4.0%,0.5%,1.4%,0.6%
20181014,1111,11110550,124.5%,42.4%,20.5%,27.3%,4.0%,4.5%,0.9%,0.2%,0.2%
20181014,1111,11110560,135.4%,38.8%,24.9%,29.9%,2.7%,2.2%,0.5%,0.6%,0.3%
20181014,1111,11110570,213.9%,34.5%,21.1%,31.1%,2.6%,7.1%,0.6%,2.8%,0.3%
20181014,1111,11110580,104.3%,37.7%,21.6%,31.8%,5.8%,2.7%,,0.4%,
20181014,1111,11110600,98.8%,29.2%,19.7%,37.6%,2.2%,9.0%,0.7%,1.3%,0.2%
20181014,1111,11110615,133.9%,28.9%,18.5%,40.7%,2.4%,7.6%,0.4%,1.2%,0.2%
20181014,1111,11110630,75.8%,29.0%,15.9%,44.2%,2.9%,6.1%,0.2%,1.3%,0.4%
20181014,1111,11110640,139.0%,23.5%,17.8%,42.6%,4.5%,7.5%,0.6%,2.6%,1.0%
20181014,1111,11110650,124.9%,31.3%,18.1%,36.3%,4.4%,7.3%,1.0%,1.5%,0.1%
20181014,1111,11110670,123.0%,34.6%,16.2%,39.5%,0.5%,6.1%,2.9%,0.2%,
20181014,1111,11110680,108.1%,48.6%,11.3%,31.3%,1.6%,5.2%,0.6%,1.4%,0.0%
20181014,1111,11110690,40.8%,20.4%,23.9%,50.7%,0.7%,3.6%,,0.5%,0.1%
20181014,1111,11110700,130.1%,34.4%,20.8%,32.8%,5.1%,3.9%,1.7%,1.1%,0.2%
20181014,1111,11110710,135.3%,29.1%,16.6%,41.6%,4.1%,5.6%,1.3%,1.5%,0.2%
20181014,1135,11350560,101.0%,36.4%,19.7%,35.1%,2.3%,5.2%,0.5%,0.7%,0.2%
20181014,1135,11350570,109.5%,37.7%,20.0%,34.3%,2.6%,3.7%,0.5%,0.8%,0.4%
20181014,1135,11350580,128.7%,27.6%,25.3%,39.8%,1.8%,4.2%,0.3%,0.3%,0.8%
20181014,1135,11350595,80.1%,34.9%,18.2%,36.9%,2.8%,5.9%,0.2%,0.8%,0.4%
20181014,1135,11350600,101.3%,33.4%,23.5%,34.1%,2.5%,4.9%,0.4%,0.9%,0.3%
20181014,1135,11350611,148.9%,36.1%,19.8%,36.0%,1.9%,5.1%,0.3%,0.5%,0.2%
20181014,1135,11350612,162.3%,35.9%,24.5%,32.2%,1.2%,3.7%,1.2%,0.4%,0.9%
20181014,1135,11350619,148.2%,32.3%,22.7%,38.0%,1.5%,4.0%,0.3%,0.7%,0.5%
20181014,1135,11350621,89.7%,32.6%,21.3%,39.9%,2.1%,2.6%,0.6%,0.7%,0.3%
20181014,1135,11350624,93.8%,27.5%,20.0%,43.3%,2.2%,5.2%,0.7%,0.7%,0.3%
20181014,1135,11350625,161.0%,33.3%,19.8%,37.7%,2.0%,4.2%,0.6%,1.5%,0.8%
20181014,1135,11350630,90.0%,30.8%,20.5%,39.0%,2.8%,4.5%,0.4%,1.4%,0.8%
20181014,1135,11350640,158.7%,33.5%,20.2%,35.5%,2.9%,6.3%,0.6%,1.0%,0.2%
20181014,1135,11350665,105.9%,43.2%,15.8%,31.5%,2.1%,6.3%,0.3%,0.6%,0.1%
20181014,1135,11350670,86.8%,36.8%,21.0%,34.1%,2.0%,4.1%,0.3%,1.4%,0.3%
20181014,1135,11350695,119.2%,29.7%,22.2%,38.4%,3.1%,5.1%,0.4%,0.6%,0.4%
20181014,1135,11350700,140.6%,38.7%,15.4%,35.2%,4.0%,3.8%,0.9%,1.4%,0.6%
20181014,1135,11350710,103.1%,33.1%,20.9%,37.9%,2.0%,4.6%,0.3%,0.6%,0.6%
20181014,1135,11350720,84.2%,35.8%,19.1%,38.3%,1.3%,4.0%,0.3%,1.0%,0.2%
20181015,1111,11110515,70.4%,32.9%,21.0%,37.4%,2.2%,4.6%,0.5%,1.1%,0.2%
20181015,1111,11110530,137.1%,30.4%,18.9%,39.6%,1.2%,8.2%,0.3%,1.1%,0.2%
20181015,1111,11110540,86.7%,33.6%,16.8%,38.9%,1.9%,6.4%,,1.9%,0.5%
20181015,1111,11110550,211.6%,44.1%,17.7%,30.8%,2.0%,3.2%,0.8%,1.1%,0.3%
20181015,1111,11110560,84.9%,42.5%,21.8%,28.0%,2.5%,3.5%,0.7%,0.6%,0.4%
20181015,1111,11110570,200.8%,30.0%,20.9%,37.2%,5.9%,4.3%,0.7%,1.0%,0.1%
20181015,1111,11110580,95.7%,42.6%,16.6%,31.4%,4.4%,3.0%,1.2%,0.7%,0.1%
20181015,1111,11110600,115.1%,36.4%,15.4%,38.8%,3.1%,4.7%,0.1%,1.4%,0.1%
20181015,1111,11110615,173.6%,31.2%,16.0%,40.8%,3.2%,6.5%,0.3%,1.9%,0.2%
20181015,1111,11110630,102.4%,25.1%,12.7%,44.2%,10.3%,4.1%,0.4%,3.0%,0.2%
20181015,1111,11110640,95.1%,32.1%,16.8%,37.8%,5.1%,4.7%,0.5%,3.0%,0.1%
20181015,1111,11110650,119.4%,34.6%,16.4%,35.6%,5.1%,5.9%,0.6%,1.6%,0.1%
